VM version,Main trace size (field elements),Permutation trace size (extension field elements),Main + permutation trace size (field elements),User time (s),Real time (s),Max space (kB),Program
1/23/25,115018933,18673001,208383938,99.76,12.36,7555632,Rec23
1/23/25,28806325,4713833,52375490,24.51,3.07,1971396,Rec20
1/23/25,1930421,376169,3811266,2.17,0.24,159980,Rec15
1/23/25,293301,97129,778946,1.58,0.12,40332,Rec10
1/23/25,96853,65321,423458,0.82,0.07,30352,Rec6
1/23/25,436276495,73461101,803582000,401.66,49.39,27839488,Rec25
1/23/25,906038543,159444333,1703260208,881.04,104.65,58646892,Rec27
8/9/24,115018933,18673001,208383938,139,11.91,7010096,Rec23
8/9/24,28806325,4713833,52375490,59.07,4.87,3449008,Rec20
8/9/24,1930421,376169,3811266,5.89,0.48,355244,Rec15
8/9/24,293301,97129,778946,1.26,0.08,35696,Rec10
8/9/24,96853,65321,423458,1.46,0.08,8704,Rec6
8/9/24,436276495,73461101,803582000,528.45,45.45,25237080,Rec25
8/9/24,906038543,159444333,1703260208,1162.12,95.53,53261364,Rec27
