Test Name,Mean Real Time,Median Real Time,StdDev Real Time,Mean User Time,Median User Time,StdDev User Time,Mean Memory (MB),Median Memory (MB),StdDev Memory (MB),Number of Iterations
Valida C Fib6 Rec Serial,0.4454,0.4450,0.0026,0.4205,0.4210,0.0035,13.98,14.08,0.22,30
Valida C Fib6 Rec Parallel,0.2850,0.2845,0.0020,0.6885,0.6890,0.0203,13.17,13.19,0.35,30
Valida C Fib10 Rec Serial,0.7017,0.7020,0.0016,0.6731,0.6730,0.0049,18.72,18.81,0.20,30
Valida C Fib10 Rec Parallel,0.3179,0.3180,0.0024,1.0303,1.0340,0.0231,23.38,23.44,0.46,30
Valida C Fib23 Rec Serial,175.5268,175.4760,0.2160,170.4056,170.3930,0.1851,4880.12,4879.97,0.21,5
Valida C Fib23 Rec Parallel,23.3304,23.2230,0.2071,184.7370,184.6380,0.4046,6988.56,6995.29,29.59,5
Valida C Fib25 Iter Serial,0.4126,0.4120,0.0013,0.3872,0.3880,0.0067,13.36,13.51,0.21,5
Valida C Fib25 Iter Parallel,0.2798,0.2800,0.0024,0.6016,0.6080,0.0233,12.71,12.75,0.27,5
Valida C Fib46 Iter Serial,0.4104,0.4100,0.0017,0.3882,0.3880,0.0033,13.51,13.51,0.00,5
Valida C Fib46 Iter Parallel,0.2788,0.2790,0.0013,0.6010,0.6070,0.0178,12.75,12.75,0.30,5
Valida Rust Keccak500,182.2838,182.5640,0.6349,3143.7578,3142.4440,20.8033,64835.63,64740.86,935.91,5
Valida Rust Keccak1000 Chip,23.1476,22.9510,0.5328,418.3686,415.4010,9.1116,8932.29,8940.81,48.25,5
Valida C SHA256 Serial,3.0761,3.0755,0.0054,2.9903,2.9895,0.0079,85.47,85.56,0.16,30
Valida C SHA256 Parallel,0.6482,0.6490,0.0063,3.8290,3.8205,0.0711,133.05,133.38,1.54,30
